,station_id,stationname,date,daytype,rides
233,40970,Cicero-Forest Park,12/10/2017,U,635
288,40970,Cicero-Forest Park,12/04/2017,W,"1,394"
547,40970,Cicero-Forest Park,12/28/2017,W,939
893,40970,Cicero-Forest Park,12/05/2017,W,"1,353"
910,40970,Cicero-Forest Park,12/16/2017,A,933
973,40970,Cicero-Forest Park,12/13/2017,W,"1,297"
989,40970,Cicero-Forest Park,12/17/2017,U,700
1222,40970,Cicero-Forest Park,12/30/2017,A,689
1264,40970,Cicero-Forest Park,12/14/2017,W,"1,394"
1279,40970,Cicero-Forest Park,12/22/2017,W,"1,271"
1390,40970,Cicero-Forest Park,12/07/2017,W,"1,331"
1398,40970,Cicero-Forest Park,12/02/2017,A,962
1604,40970,Cicero-Forest Park,12/03/2017,U,766
1606,40970,Cicero-Forest Park,12/15/2017,W,"1,271"
1643,40970,Cicero-Forest Park,12/25/2017,U,492
2240,40970,Cicero-Forest Park,12/01/2017,W,"1,393"
2336,40970,Cicero-Forest Park,12/11/2017,W,"1,271"
2424,40970,Cicero-Forest Park,12/08/2017,W,"1,369"
2602,40970,Cicero-Forest Park,12/21/2017,W,"1,228"
2774,40970,Cicero-Forest Park,12/24/2017,U,554
3092,40970,Cicero-Forest Park,12/26/2017,W,770
3179,40970,Cicero-Forest Park,12/27/2017,W,944
3242,40970,Cicero-Forest Park,12/23/2017,A,761
3393,40970,Cicero-Forest Park,12/20/2017,W,"1,275"
3428,40970,Cicero-Forest Park,12/18/2017,W,"1,222"
3448,40970,Cicero-Forest Park,12/09/2017,A,890
3670,40970,Cicero-Forest Park,12/12/2017,W,"1,230"
3755,40970,Cicero-Forest Park,12/29/2017,W,"1,058"
3851,40970,Cicero-Forest Park,12/31/2017,U,539
4017,40970,Cicero-Forest Park,12/06/2017,W,"1,370"
4472,40970,Cicero-Forest Park,12/19/2017,W,"1,360"
4608,40970,Cicero-Forest Park,01/13/2018,A,715
4894,40970,Cicero-Forest Park,03/18/2018,U,589
5049,40970,Cicero-Forest Park,02/15/2018,W,"1,252"
5647,40970,Cicero-Forest Park,01/01/2018,U,430
6133,40970,Cicero-Forest Park,03/20/2018,W,"1,249"
